image,description_1,description_2,description_3,description_4,description_5
hoodie 1.jpeg,Hoodie,,Ralph Lauren Corporation,Ralph Lauren,Jacket
hoodie 10.jpeg,Hoodie,Sweatshirt,Hood,Clothing,Fashion
hoodie 2.jpeg,Hoodie,Hood,,Nike,Nike
hoodie 3.qjpeg,Hoodie,Clothing,Fashion,Jumper,Represent
hoodie 4.jpeg,Hoodie,Hood,SHEIN,Sweatshirt,Jumper
hoodie 5.jpeg,T-shirt,Hoodie,Sweatshirt,Hood,Jacket
hoodie 6.jpeg,Hoodie,Sweatpants,Streetwear,loungewear,Clothing
hoodie 7.jpeg,T-shirt,Hoodie,Hood,"Aelfric Eden ""Fruit Code"" Cherries Print Hoodie Sweatshirt Streetwear Casual Pullover Autumn",Aelfric Eden
hoodie 8.jpeg,Star Art: Drawing & Relaxing,Alphabet Games,,World,Alphabet
hoodie 9.jpeg,Hoodie,Fashion,Sweatshirt,Clothing,Shirt
jeans 10.jpeg,Jeans,Straight Leg,GOOD AMERICAN,Good American Good 90s in Black278,Denim
jeans 11.jpeg,Jeans,Trousers,Wide-leg jeans,Denim,High-rise
jeans 2.jpeg,Jeans,Trousers,Clothing,GANNI,Wide-leg jeans
jeans 3.jpeg,Jeans,Low-rise pants,Low-rise,Trousers,Motel
jeans 4.jpeg,Low-rise pants,Low-rise,Jeans,Motel,Trousers
jeans 5.jpeg,Jeans,Bell-bottoms,High-rise,Levi's,
jeans 6.jpeg,Jeans,SHEIN,Trousers,Women's Pants,High-rise
jeans 7.jpeg,Jeans,Trousers,Wide-leg jeans,Cargo pants,High-rise
jeans 8.jpeg,Jeans,High-rise,90's High Waisted Denim Jeans,Wide-leg jeans,Denim
jeans 9.jpeg,,Levi's,"David Jones Levi's Low Loose 32"" Jean in Real Recognize Real, Size 34 in",Levi's Loose Women's Low Jeans,Jeans
jeans1.jpeg,Jeans,Trousers,Women's Pants,High-rise,Denim
kurti  9.jpeg,Kurta,Chikan,Suit,Dress,Dupatta
kurti 1.jpeg,Kurta,Chikan,Clothing,Dress,Clothing in India
kurti 10.jpeg,T-shirt,Kurta,Sleeve,Suit design,Kurti top
kurti 2.jpeg,Kurta,Trousers,Dupatta,Dress,Suit design
kurti 3.jpeg,Kurta,Fashion,Dress,Angarkha,Suit
kurti 4.jpeg,Kurta,Dupatta,Sleeveless Kurti,Silk,Kurti top
kurti 5.jpeg,Kurta,Fashion,Desi fashion,Suit design,Casual wear
kurti 6.jpeg,Kurta,Chikan,Aabroo Chikankari,Trousers,Black Chikankari Kurti
kurti 7.jpeg,T-shirt,Clothing,Clothing in India,Dress,Kurta
kurti 8.jpeg,Kurta,Churidar,Clothing,Dress,Fashion
saree 1.jpeg,Sari,Organza,Silk,Navy Blue,Navy Blue Organza Saree
